Mountain Name,Elevation,Prominence,Isolation,Number of ascents
Denali,20310.0,20146,4629.4,295
Denali,20310.0,20146,4629.4,295
Mount Logan,19551.0,17224,387.0,35
Denali - North Peak,19470.0,1270,1.6,5
Mount Logan - Philippe Peak,19423.0,787,1.3,1
Mount Logan - East Peak,19350.0,584,1.4,1
Mount Logan - Houstons Peak,18766.0,131,.4,0
Peak 18735,18735.0,235,.6,0
Mount Logan - Prospectors Peak,18517.0,1063,2.0,0
Pico de Orizaba,18491.0,16148,1671.6,420
Mount Logan - AINA Peak,18373.0,262,.9,0
Mount Logan - Russell Peak,18241.0,131,.9,0
Mount Logan - Tudor Peak,18110.0,525,1.2,0
Mount Logan - Saxon Peak,18045.0,197,.8,0
Mount Saint Elias,18008.0,11184,25.4,5
Volcán Popocatépetl,17759.0,9951,88.6,56
Queen Peak,17651.0,459,1.2,0
Mount Foraker,17400.0,7200,13.5,7
Peak 17400,17400.0,200,.7,0
Mount Lucania,17251.0,10075,26.7,5
Mount Logan - Capet Peak,17224.0,689,1.4,0
Volcán Iztaccíhuatl,17103.0,5020,10.7,225
King Peak,16972.0,3455,2.7,3
Mount Foraker - South Peak,16812.0,212,.6,0
Mount Saint Elias - West Peak,16798.0,262,1.3,0
Iztaccíhuatl - Las Rodillas,16732.0,33,.3,63
Iztaccíhuatl - Cabeza,16699.0,427,.0,6
Mount Steele,16644.0,2602,6.7,4
Mount Lucania - Central Peak,16535.0,394,.7,0
Mount Bona,16500.0,6870,49.4,9
Mount Foraker - Southwest Peak,16500.0,200,.9,0
Pico el Fraile,16404.0,131,.6,1
Mount Blackburn,16390.0,11590,60.6,7
Mount Blackburn - Southeast Peak,16286.0,486,1.5,2
Mount Lucania - Northeast Peak,16263.0,384,1.1,0
Mount Sanford,16237.0,7637,40.2,9
West Buttress,16030.0,30,.4,11
Mount Lucania - Atlantic Peak,16007.0,784,.9,0
South Buttress,15885.0,315,1.2,1
Mount Wood,15879.0,3806,11.3,4
Peak 15800,15800.0,200,.5,0
Mount Vancouver,15787.0,8832,25.4,2
Mount Wood - Northwest Peak,15741.0,518,1.0,1
Mount Vancouver - Good Neighbor Peak,15682.0,328,1.6,1
Mount Bona - West Peak,15660.0,360,.7,0
Mount Churchill,15638.0,1138,2.2,1
Mount Vancouver - Middle Peak,15617.0,262,.8,1
Mount Slaggard,15558.0,1647,4.7,3
Iztaccíhuatl - Los Pies,15387.0,492,.6,13
Nevado de Toluca,15354.0,7251,73.1,133
Mount Macaulay,15354.0,1444,1.5,4
Mount Fairweather,15325.0,12963,124.4,21
Izta Norte,15289.0,459,.4,1
Pico de Aguila,15157.0,131,1.0,17
Mount Foraker - Northwest Peak,15030.0,130,.3,0
Sierra Negra,15026.0,1640,2.8,32
Mount Hubbard,14950.0,7995,21.0,2
Mount Bear,14831.0,4988,19.3,2
Mount Walsh,14783.0,4416,11.2,3
East Buttress,14730.0,330,.8,1
Peak 14721,14721.0,221,.9,0
Peak 14700,14700.0,200,.7,0
Pico de Humboldt,14698.0,591,1.0,17
Cerro Colorado,14633.0,394,.6,4
East Buttress - Peak 14630,14630.0,530,1.1,1
Mount Hunter,14573.0,4623,5.3,9
Volcán La Malinche,14560.0,6293,38.8,234
Mount Alverstone,14500.0,1900,1.5,3
Mount Whitney,14498.0,10078,1646.3,3716
University Peak,14470.0,3210,3.3,2
Cerro Tehuicocone,14469.0,164,.8,0
Aello Peak,14445.0,1445,3.1,0
Mount Macaulay - Southeast Peak,14436.0,525,2.0,2
Mount Elbert,14433.0,9073,670.6,2062
Mount Massive,14421.0,1941,5.1,737
Mount Harvard,14420.0,2340,14.9,524
Mount Rainier,14411.0,13246,731.2,2793
Peak 14410,14410.0,210,1.2,0
Mount Williamson,14373.0,1644,5.4,429
Blanca Peak,14345.0,5326,103.4,441
La Plata Peak,14336.0,1816,6.2,626
Mount Massive - Northwest Peak,14320.0,240,.7,92
Uncompahgre Peak,14309.0,4277,85.0,482
McArthur Peak,14304.0,3018,3.3,2
Mount Slaggard - South Peak,14304.0,591,1.1,0
Crestone Peak,14294.0,4534,27.4,305
Mount Lincoln,14286.0,3862,22.5,1074
Mount Massive - Green Peak,14280.0,80,.3,80
Grays Peak,14270.0,2750,25.0,1450
Mount Antero,14269.0,2503,17.7,450
Torreys Peak,14267.0,560,.7,1293
Castle Peak,14265.0,2345,20.9,417
Quandary Peak,14265.0,1105,3.2,1386
Mount Evans,14264.0,2744,9.8,1188
The Snave,14260.0,360,.5,1
Mount Evans - West Peak,14256.0,96,.3,170
Longs Peak,14255.0,2940,43.6,1033
White Mountain Peak,14246.0,7196,67.5,1087
Mount Wilson,14246.0,4024,33.0,273
North Palisade,14242.0,2894,32.2,293
Crestone Peak - Northeast Peak,14240.0,80,.1,22
Crestone Peak - East Peak,14240.0,40,.1,106
Keeler Needle,14239.0,131,.1,155
Mount Cameron,14238.0,118,.5,917
Mount Shavano,14229.0,1619,3.8,616
Peak 14210,14210.0,210,.5,0
Starlight Peak,14200.0,80,.1,124
Mount Princeton,14197.0,2157,5.2,539
Mount Belford,14197.0,1317,3.3,647
Crestone Needle,14197.0,437,.4,308
Mount Yale,14196.0,1876,5.5,636
Cerro el Ombligo,14173.0,262,.4,15
Crooks Peak,14173.0,66,.1,101
Cerro Prieto,14173.0,66,.4,6
Nevado de Toluca - Pico Sureste,14173.0,66,1.1,2
Pico de Humboldt - Pico Noreste,14173.0,66,.7,3
Mount Bross,14172.0,292,.9,973
Mount Massive - Far Northwest Peak,14169.0,9,.3,46
Kit Carson Mountain,14165.0,1005,1.3,299
Mount Wrangell,14163.0,5563,14.5,4
Mount Shasta,14162.0,9762,334.7,1530
Quandary Peak - West Peak,14160.0,40,.2,15
La Plata Peak - East Peak,14160.0,40,.1,39
El Diente,14159.0,239,.7,218
Point Success,14158.0,118,.4,30
Maroon Peak,14156.0,2316,8.0,252
Tabeguache Peak,14155.0,435,.8,469
Mount Oxford,14153.0,633,1.2,499
Mount Sill,14153.0,353,.6,316
Mount Sneffels,14150.0,3030,15.7,601
Mount Democrat,14148.0,748,1.2,1126
McArthur Peak - East Peak,14134.0,748,1.0,0
Mount Elbert - South Peak,14134.0,214,.7,126
Mount Massive - Southeast Peak,14132.0,212,.4,90
Capitol Peak,14130.0,1730,7.4,280
Liberty Cap,14112.0,472,.8,69
Pikes Peak,14110.0,5510,60.6,1474
Mount Wilson - South Peak,14110.0,150,.3,11
East Williamson Horn,14108.0,131,.5,6
Mount Wilson - West Peak,14100.0,100,.3,69
Snowmass Mountain,14092.0,1132,2.3,230
Mount Russell,14088.0,1096,.7,390
Windom Peak,14087.0,2167,26.3,265
Mount Eolus,14084.0,1004,1.7,236
Challenger Point,14081.0,281,.2,308
Polemonium Peak,14080.0,160,.1,127
Mount Columbia,14073.0,873,1.6,409
Mount Augusta,14070.0,5015,14.2,1
Missouri Mountain,14067.0,827,1.3,455
Humboldt Peak,14064.0,1184,1.4,387
Mount Bierstadt,14060.0,700,1.0,1367
Sunlight Peak,14059.0,379,.5,234
Split Mountain,14058.0,1526,6.8,379
Cofre de Perote,14049.0,4600,30.7,20
Handies Peak,14048.0,1888,11.1,560
Culebra Peak,14047.0,4807,35.4,230
Mount Lindsey,14042.0,1522,2.2,289
Mount Steele - Southeast Peak,14042.0,1312,2.7,0
Mount Slaggard - West Peak,14042.0,394,1.4,0
Ellingwood Point,14042.0,322,.5,303
Mount Williamson - Far Northeast Horn,14042.0,131,.1,6
Conundrum Peak,14040.0,200,.4,241
Longs Peak - Southeast Peak,14040.0,200,.1,32
North Eolus,14039.0,159,.2,196
Little Bear Peak,14037.0,357,.9,224
Mount Sherman,14036.0,876,8.1,975
Redcloud Peak,14034.0,1436,4.9,464
Mount Langley,14026.0,1165,4.4,945
South Conundrum Peak,14022.0,22,.1,144
Little Bear Peak - South Peak,14020.0,60,.2,21
Mount Tyndall,14019.0,1093,1.4,390
Pyramid Peak,14018.0,1618,2.1,239
Wilson Peak,14017.0,857,1.4,296
Wetterhorn Peak,14015.0,1615,2.7,371
San Luis Peak,14014.0,3113,27.0,366
North Maroon Peak,14014.0,214,.4,236
Mount Wrangell - West Peak,14013.0,513,1.5,3
Middle Palisade,14012.0,1086,2.6,293
Mount Muir,14012.0,299,.5,466
Mount of the Holy Cross,14005.0,2111,18.4,488
Huron Peak,14003.0,1403,3.2,596
Thunderbolt Peak,14003.0,203,.2,191
Sunshine Peak,14001.0,481,1.3,430
South Bross Peak,14000.0,40,.3,79
Nevado de Colima,13976.0,8858,251.8,29
Aiguille du Paquoir,13976.0,66,.1,44
Columbia Point,13960.0,320,.2,95
Kitty Kat Carson,13960.0,40,.3,78
Mount Strickland,13911.0,2493,.0,3
Mount Kennedy,13911.0,1181,3.2,5
Aello Peak - East Peak,13900.0,300,.4,0
Mount Everest,29024.719999999998,8849,Infinite,68
Mount Everest,29024.719999999998,8849,Infinite,68
Mount Everest - South Summit,28696.719999999998,11,.1,10
K2,28253.92,4020,1315.6,16
Kangchenjunga,28162.079999999998,3922,124.2,14
Lhotse,27932.48,610,2.4,9
Yalung Kang,27896.399999999998,135,1.1,2
Makalu,27830.8,2378,17.2,11
Kangchenjunga South,27801.28,76,1.1,1
Kangchenjunga Central,27791.44,33,.6,1
Lhotse - Middle Summit,27584.8,60,.3,1
Lhotse Shar,27506.079999999998,86,.6,1
Cho Oyu,26856.64,2344,27.7,21
Dhaulagiri,26787.76,3357,317.4,10
Manaslu,26774.64,3092,105.5,16
Nanga Parbat,26650.0,4608,187.8,8
Annapurna,26538.48,2984,33.7,8
Gasherbrum I,26502.399999999998,2155,23.5,10
Broad Peak,26407.28,1701,8.4,18
Gasherbrum II,26354.8,1524,5.3,15
Shishapangma,26328.559999999998,2906,90.8,10
Broad Peak Central,26292.48,196,.7,1
Annapurna - Middle Peak,26282.64,73,.6,1
Shishapangma Central,26266.239999999998,108,.3,1
Manaslu East,26213.76,92,.4,0
Annapurna East Pk.,26174.399999999998,60,.6,1
Gyachung Kang,26082.559999999998,672,7.6,2
Gasherbrum III,26082.559999999998,461,.9,6
Annapurna II,26033.359999999997,2437,29.1,1
Gasherbrum IV,25994.0,718,2.4,5
Ngojumba Kang,25964.48,216,1.7,0
Kangbachen,25921.84,123,1.4,0
Himalchuli,25889.039999999997,1633,14.5,1
Disteghil Sar,25862.8,2525,128.4,1
Ngadi Chuli,25816.879999999997,1020,4.7,1
Nuptse,25793.92,319,3.5,3
Makalu - Southeast Peak,25780.8,140,1.0,1
Kunyang Chhish,25754.559999999998,1765,13.5,1
Masherbrum,25652.879999999997,2457,30.3,3
Nanda Devi,25636.48,3139,388.0,4
Nuptse II,25633.199999999997,55,.4,0
Batura Sar,25567.6,3118,63.0,1
Nuptse Shar I,25567.6,75,.5,0
Chomo Lonzo,25551.199999999997,590,4.0,0
Rakaposhi,25544.64,2818,40.9,2
Namcha Barwa,25524.96,4106,706.9,1
Zemu Kang,25518.399999999998,140,.8,0
Nuptse Nup I,25502.0,55,.4,0
Kanjut Sar,25452.8,1660,18.8,2
Gasherbrum II - East Peak,25446.239999999998,190,.9,1
Kamet,25439.68,2825,70.3,6
Dhaulagiri II,25423.28,2391,11.6,2
Ngojumba Kang II,25397.039999999997,243,1.6,0
Saltoro Kangri,25393.76,2160,38.1,2
Nuptse Nup II,25360.96,12,.5,0
Batura II,25354.399999999998,90,.1,1
Batura III,25351.12,104,1.3,1
Dhaulagiri III,25305.199999999997,135,1.3,1
Jannu,25292.079999999998,1036,6.8,1
Tirich Mir,25282.239999999998,3910,238.3,1
Saltoro Kangri II,25272.399999999998,225,.9,1
Disteghil Sar East,25242.879999999997,116,1.4,0
Gurla Mandhata,25236.32,2788,127.5,2
Tirich Mir East,25226.48,191,.9,0
Nuptse Shar III,25210.079999999998,98,.8,0
Ngojumba Kang III,25193.68,161,.6,0
Kangchungtse,25183.84,251,1.5,1
Saser Kangri,25164.16,2304,101.4,1
Chogolisa,25141.199999999997,1621,16.2,3
Dhaulagiri IV,25128.079999999998,469,6.5,1
Phola Gangchen,25128.079999999998,431,.2,1
Chogolisa - Northeast Summit,25105.12,54,.6,2
Kongur Tagh,25088.719999999998,3585,239.9,1
Annapurna Fang,25082.16,267,1.2,0
Kunyang Chhish South,24993.6,220,.4,0
Shispare,24990.32,1248,15.9,1
Dhaulagiri V,24987.039999999997,340,2.5,1
Silver Crag,24918.16,137,1.1,0
Batura IV,24908.32,94,.8,1
Peak 38,24898.48,31,.7,1
Trivor,24852.559999999998,1000,9.9,1
Gangkar Punsum,24829.6,3049,227.8,0
Gongga Shan,24783.68,3642,660.6,2
Annapurna III,24780.399999999998,703,13.5,1
Changtse,24773.84,497,2.4,2
Muztagata,24750.879999999997,2735,38.8,10
Skyank Kangri,24744.32,1059,5.0,1
Himalchuli West,24731.199999999997,280,1.4,0
Chomo Lonzo Central,24731.199999999997,240,1.1,0
Kula Kangri,24724.64,1654,25.2,2
Liangkang Kangri,24711.519999999997,234,2.0,0
Skyang Kangri II,24708.239999999998,93,.2,0
Batura VI,24701.68,151,.7,1
Kongur Tiube Tagh,24698.399999999998,840,10.2,1
Annapurna IV,24682.0,205,3.2,0
Mamostong Kangri,24652.48,1803,34.2,1
Ngadi Chuli South,24645.92,14,1.8,0
Saser Kangri II,24642.64,1450,8.2,1
Saser Kangri II West,24636.079999999998,151,.9,1
Tirich Mir West II,24600.0,80,.1,0
Pik Ismail Samani,24583.6,3402,278.6,4
Saser Kangri III,24583.6,850,3.6,1
Noshaq,24573.76,2024,18.9,4
Pumar Kish,24573.76,884,3.5,1
Broad Peak North,24567.199999999997,212,.9,1
Tirich Mir West,24557.359999999997,47,.2,0
Kangshar Kang,24550.8,5,.9,0
Passu Sar,24521.28,645,5.4,1
Yukshin Garden Sar,24498.32,1313,5.8,1
Teram Kangri I,24475.359999999997,1702,28.2,1
Kumbhakarna East,24468.8,50,.9,0
Malubiting,24462.239999999998,2193,36.6,1
Junction Peak,24458.96,187,1.7,1
Gangapurna,24452.399999999998,563,3.2,1
Muchu Chhish,24445.84,263,1.9,1
Pungpa Ri,24419.6,145,.9,0
Pik Pobeda,24399.92,4146,558.0,4
Nanda Devi East,24383.519999999997,234,1.8,1
Yangra,24367.12,2359,47.7,0
K12,24363.84,1978,19.1,1
Sia Kangri,24344.16,640,7.7,1
Jongsong Peak,24337.6,1256,17.9,0
Kula Kangri Central,24331.039999999997,118,1.1,0
Saser Kangri IV,24321.199999999997,255,1.0,0
Momhil Sar,24317.92,990,5.0,0
Kabru North,24311.359999999997,720,5.9,1
Skilbrum,24304.8,1152,7.0,1
Teram Kangri II,24294.96,167,1.3,1
Istor-o-Nal,24281.84,1025,8.5,1
Ghent Kangri,24275.28,1493,12.9,1
Kunyang Chhish East,24272.0,260,1.2,0
Tirich Mir West III,24272.0,80,.5,0
Haramosh,24262.16,2277,18.0,1
Ultar Sar II,24232.64,700,5.0,1
Rimo I,24222.8,1438,30.3,1
Churen Himal,24222.8,600,8.8,1
Teram Kangri III,24212.96,500,3.1,1
Kula Kangri East,24209.68,281,1.2,0
Sherpi Kangri,24206.399999999998,900,5.9,1
Istor-o-Nal North,24183.44,213,1.7,0
Rimo II,24183.44,73,.1,1
Himalchuli North,24176.879999999997,191,1.2,0
Churen Himal East,24176.879999999997,171,1.3,0
Churen Himal West,24176.879999999997,71,.9,0
Labuche Kang,24163.76,1957,36.7,0
Kirat Chuli,24157.199999999997,1168,8.2,0
Yazghil Dome South,24157.199999999997,305,1.8,0
Yebokangal,24157.199999999997,265,1.4,0
Kangbachen West,24140.8,10,.9,0
Abi Gamin,24124.399999999998,217,1.0,1
Kabru Central,24117.84,113,1.7,1
Gimmigela,24108.0,432,2.1,0
Nangpai Gosum,24108.0,426,4.1,0
Kunyang Chhish West,24108.0,150,.8,0
Saraghrar,24104.719999999998,1979,25.7,1
Talung,24104.719999999998,409,2.2,1
Namcha Barwa II,24088.32,144,1.0,0
Ghent Kangri II,24081.76,322,1.3,1
Tirich Mir West IV,24068.64,118,.5,0
Saraghar Central,24042.399999999998,90,1.0,0
Bojohagur Duanasir,24039.12,229,1.2,1
Sia Kangri II,24026.0,165,.6,0
Yazghil Dome North,24019.44,63,1.0,0
Chamlang,24006.32,1193,15.4,2
Kabru South,24003.039999999997,118,1.8,1
Chongtar,23993.199999999997,1300,7.2,1
Sia Kangri III,23993.199999999997,155,1.1,0
Baltoro Kangri,23983.359999999997,1040,7.4,1
Plateau Peak,23976.8,250,2.5,0
Siguang Ri,23970.239999999998,650,3.5,0
Saraghar South,23966.96,67,.3,0
Jongsong Peak - South Peak,23957.12,44,.5,0
Baltoro Kangri III,23944.0,180,1.9,0
Nangpai Gosum II,23930.879999999997,176,2.0,0
The Crown,23927.6,1919,27.1,1
Gyala Peri,23924.32,2942,20.4,0
Porong Ri,23917.76,520,5.3,0
Shingeik Zom,23914.48,271,2.5,0
Rakaposhi Northeast,23911.199999999997,190,.7,1
Chamlang East,23901.359999999997,307,4.1,0
Chamar,23901.359999999997,127,1.5,0
Summa Ri,23898.079999999998,246,2.3,0
Baintha Brakk,23894.8,1891,40.7,1
Yutmaru Sar,23888.239999999998,620,2.5,1
Pasu Diar,23888.239999999998,123,1.3,1
K6,23884.96,1962,21.3,1
Kangpenqing,23881.68,1340,24.8,0
Baltoro Kangri V,23862.0,135,1.1,0
Muztagh Tower,23855.44,1707,6.3,2
Sia Kangri IV,23855.44,113,.5,0
Mana,23852.16,730,4.2,1
Baltoro Kangri II,23845.6,110,.1,0
Dhaulagiri VI,23839.039999999997,478,4.2,1
Diran,23832.48,1325,14.0,1
Baltoro Kangri IV,23829.199999999997,65,.2,0
Labuche Kang III,23780.0,570,3.2,0
Urdok Kangri I,23780.0,270,1.3,0
Putha Hiunchuli,23766.879999999997,1151,6.5,1
Apsarasas,23763.6,625,5.6,1
Karayalak Tagh,23763.6,145,1.2,0
Mukut Parbat,23753.76,840,3.6,1
Apsararas II,23743.92,219,1.7,1
Apsarasas III,23734.079999999998,436,3.2,1
Rimo III,23724.239999999998,615,2.1,1
Jangmanjar Tagh,23711.12,166,2.0,0
Langtang Lirung,23704.559999999998,1525,24.5,0
Karjiang,23684.879999999997,920,3.1,0
Apsarasas IV,23684.879999999997,141,.6,1
Shingeik II,23681.6,40,.1,0
Annapurna Dakshin,23678.32,775,5.2,0
Khartaphu,23658.64,665,6.2,1
Kokodak Tagh,23648.8,230,2.2,0
Saraghar Southeast,23642.239999999998,48,.5,0
Tongshanjiabu,23638.96,1757,49.3,0
Singhi Kangri,23638.96,800,5.2,1
Norin Kang,23635.68,2160,87.1,0
Langtang Ri,23632.399999999998,650,3.2,0
Kangphu Kang,23629.12,1200,12.2,0
Mulungutti Sar,23622.559999999998,522,4.5,1
Lupghar Sar,23616.0,730,3.4,1
Peak 7200,23616.0,160,.7,0
Pumar Kish South,23616.0,160,.1,0
