Mountain Name,Elevation,Prominence,Isolation,Number of ascents,Latitude,Longitude
Denali,20310,20146,4629.4,297,63.069115,-151.006239
Denali,20310,20146,4629.4,297,63.069115,-151.006239
Mount Logan,19551,17224,387,35,60.5678461,-140.4056911
Denali - North Peak,19470,1270,1.6,5,,-140.4056911
Mount Logan - Philippe Peak,19423,787,1.3,1,,-140.4056911
Mount Logan - East Peak,19350,584,1.4,1,,-140.4056911
Mount Logan - Houstons Peak,18766,131,0.4,0,,-140.4056911
Peak 18735,18735,235,0.6,0,33.7405388,-117.74217
Mount Logan - Prospectors Peak,18517,1063,2,0,,-117.74217
Pico de Orizaba,18491,16148,1671.6,424,19.0302938,-97.2698143
Mount Logan - AINA Peak,18373,262,0.9,0,,-97.2698143
Mount Logan - Russell Peak,18241,131,0.9,0,,-97.2698143
Mount Logan - Tudor Peak,18110,525,1.2,0,,-97.2698143
Mount Logan - Saxon Peak,18045,197,0.8,0,,-97.2698143
Mount Saint Elias,18008,11184,25.4,5,60.2934458,-140.9307367
Volcán Popocatépetl,17759,9951,88.6,56,21.0856437,-101.634947
Queen Peak,17651,459,1.2,0,40.0670875,-124.033087
Mount Foraker,17400,7200,13.5,7,62.9605113,-151.3986499
Peak 17400,17400,200,0.7,0,37.1247346,-121.660212476238
Mount Lucania,17251,10075,26.7,5,61.0215698,-140.465998
Mount Logan - Capet Peak,17224,689,1.4,0,,-140.465998
Volcán Iztaccíhuatl,17103,5020,10.7,226,20.0081923,-102.2949806
King Peak,16972,3455,2.7,3,58.2237359,-124.856582
Mount Foraker - South Peak,16812,212,0.6,0,,-124.856582
Mount Saint Elias - West Peak,16798,262,1.3,0,,-124.856582
Iztaccíhuatl - Las Rodillas,16732,33,0.3,63,,-124.856582
Iztaccíhuatl - Cabeza,16699,427,0,6,,-124.856582
Mount Steele,16644,2602,6.7,4,61.0928068,-140.310459
Mount Lucania - Central Peak,16535,394,0.7,0,,-140.310459
Mount Bona,16500,6870,49.4,9,61.3857184,-141.7499319
Mount Foraker - Southwest Peak,16500,200,0.9,0,,-141.7499319
Pico el Fraile,16404,131,0.6,1,42.866745,-5.6867178
Mount Blackburn,16390,11590,60.6,7,61.7316667,-143.4330556
Mount Blackburn - Southeast Peak,16286,486,1.5,2,,-143.4330556
Mount Lucania - Northeast Peak,16263,384,1.1,0,,-143.4330556
Mount Sanford,16237,7637,40.2,9,62.213889,-144.128889
West Buttress,16030,30,0.4,11,57.2009739,-6.2360591
Mount Lucania - Atlantic Peak,16007,784,0.9,0,,-6.2360591
South Buttress,15885,315,1.2,1,63.0143658,-151.0059644
Mount Wood,15879,3806,11.3,4,61.2329969,-140.5122186
Peak 15800,15800,200,0.5,0,33.7405388,-117.74217
Mount Vancouver,15787,8832,25.4,2,60.3352244,-139.692981
Mount Wood - Northwest Peak,15741,518,1,1,,-139.692981
Mount Vancouver - Good Neighbor Peak,15682,328,1.6,1,,-139.692981
Mount Bona - West Peak,15660,360,0.7,0,,-139.692981
Mount Churchill,15638,1138,2.2,1,61.418914,-141.7153505
Mount Vancouver - Middle Peak,15617,262,0.8,1,,-141.7153505
Mount Slaggard,15558,1647,4.7,3,61.1726091,-140.5850297
Iztaccíhuatl - Los Pies,15387,492,0.6,13,,-140.5850297
Nevado de Toluca,15354,7251,73.1,135,19.10807815,-99.7593672978485
Mount Macaulay,15354,1444,1.5,4,61.2099197,-140.5265243
Mount Fairweather,15325,12963,124.4,21,58.9063722,-137.526114
Izta Norte,15289,459,0.4,1,42.3088216,46.3563406
Pico de Aguila,15157,131,1,17,3.3173296,-76.6018664
Mount Foraker - Northwest Peak,15030,130,0.3,0,,-76.6018664
Sierra Negra,15026,1640,2.8,33,18.9862137,-97.3151017
Mount Hubbard,14950,7995,21,2,60.3194292,-139.072126
Mount Bear,14831,4988,19.3,2,61.2857004,-141.1444474
Mount Walsh,14783,4416,11.2,3,-25.5700323,152.051003
East Buttress,14730,330,0.8,1,54.4504204,-3.2201609
Peak 14721,14721,221,0.9,0,33.7405388,-117.74217
Peak 14700,14700,200,0.7,0,33.7405388,-117.74217
Pico de Humboldt,14698,591,1,17,10.5472097,-66.860439
Cerro Colorado,14633,394,0.6,4,22.9294349,-109.8646224
East Buttress - Peak 14630,14630,530,1.1,1,,-109.8646224
Mount Hunter,14573,4623,5.3,9,62.9513815,-151.0939508
Volcán La Malinche,14560,6293,38.8,234,16.850212,-99.8172505
Mount Alverstone,14500,1900,1.5,3,60.3525047,-139.074818
Mount Whitney,14498,10078,1646.3,3730,36.5785905,-118.2921377
University Peak,14470,3210,3.3,2,61.3270953,-141.7869759
Cerro Tehuicocone,14469,164,0.8,0,19.2080603,-98.6353503
Aello Peak,14445,1445,3.1,0,61.3655091,-141.9045099
Mount Macaulay - Southeast Peak,14436,525,2,2,,-141.9045099
Mount Elbert,14433,9073,670.6,2067,39.1179831,-106.4450474
Mount Massive,14421,1941,5.1,738,39.1875396,-106.475619
Mount Harvard,14420,2340,14.9,524,34.2132363,-118.0621863
Mount Rainier,14411,13246,731.2,2797,46.8521484,-121.757682
Peak 14410,14410,210,1.2,0,33.7405388,-117.74217
Mount Williamson,14373,1644,5.4,429,36.6560456,-118.311204
Blanca Peak,14345,5326,103.4,441,37.5776107,-105.4855278
La Plata Peak,14336,1816,6.2,626,39.0294519,-106.4729609
Mount Massive - Northwest Peak,14320,240,0.7,92,,-106.4729609
Uncompahgre Peak,14309,4277,85,484,38.0717523,-107.4625069
McArthur Peak,14304,3018,3.3,2,60.606389,-140.213611
Mount Slaggard - South Peak,14304,591,1.1,0,,-140.213611
Crestone Peak,14294,4534,27.4,305,37.9668836,-105.585452
Mount Lincoln,14286,3862,22.5,1075,39.3513775,-106.111409
Mount Massive - Green Peak,14280,80,0.3,80,,-106.111409
Grays Peak,14270,2750,25,1449,39.6338758,-105.8175092
Mount Antero,14269,2503,17.7,450,38.6741679,-106.2462052
Torreys Peak,14267,560,0.7,1294,39.6427647,-105.8213982
Castle Peak,14265,2345,20.9,417,39.0097131,-106.861429
Quandary Peak,14265,1105,3.2,1391,39.397289,-106.106431
Mount Evans,14264,2744,9.8,1191,39.5883492,-105.6436992
The Snave,14260,360,0.5,1,51.03348395,0.871300186031731
Mount Evans - West Peak,14256,96,0.3,171,,0.871300186031731
Longs Peak,14255,2940,43.6,1034,40.2548911,-105.6152347
White Mountain Peak,14246,7196,67.5,1087,37.6340536,-118.2557165
Mount Wilson,14246,4024,33,275,37.8392109,-107.9916312
North Palisade,14242,2894,32.2,293,37.0941667,-118.514444
Crestone Peak - Northeast Peak,14240,80,0.1,22,,-118.514444
Crestone Peak - East Peak,14240,40,0.1,106,,-118.514444
Keeler Needle,14239,131,0.1,155,36.5755373,-118.291661
Mount Cameron,14238,118,0.5,918,22.2623198,114.1751637
Mount Shavano,14229,1619,3.8,618,38.6190989,-106.239238
Peak 14210,14210,210,0.5,0,33.7405388,-117.74217
Starlight Peak,14200,80,0.1,124,37.0950237,-118.5150147
Mount Princeton,14197,2157,5.2,539,38.7492358,-106.2424914
Mount Belford,14197,1317,3.3,651,38.9606444,-106.3607841
Crestone Needle,14197,437,0.4,308,37.9647221,-105.576675
Mount Yale,14196,1876,5.5,640,38.844162,-106.3139118
Cerro el Ombligo,14173,262,0.4,15,19.1085331,-99.7557524
Crooks Peak,14173,66,0.1,101,36.5744998,-118.2907297
Cerro Prieto,14173,66,0.4,6,22.9787573,-109.980821
Nevado de Toluca - Pico Sureste,14173,66,1.1,2,,-109.980821
Pico de Humboldt - Pico Noreste,14173,66,0.7,3,,-109.980821
Mount Bross,14172,292,0.9,974,39.3352666,-106.10752
Mount Massive - Far Northwest Peak,14169,9,0.3,46,,-106.10752
Kit Carson Mountain,14165,1005,1.3,301,37.9797219,-105.602508
Mount Wrangell,14163,5563,14.5,4,62.0058333,-144.0194444
Mount Shasta,14162,9762,334.7,1536,41.4091897,-122.194953
Quandary Peak - West Peak,14160,40,0.2,15,,-122.194953
La Plata Peak - East Peak,14160,40,0.1,39,,-122.194953
El Diente,14159,239,0.7,218,43.1995809,-4.9806093
Point Success,14158,118,0.4,30,46.8458144,-121.7672074
Maroon Peak,14156,2316,8,252,39.0708002,-106.988694
Tabeguache Peak,14155,435,0.8,469,38.6254147,-106.250883
Mount Oxford,14153,633,1.2,502,38.9647162,-106.338912
Mount Sill,14153,353,0.6,316,37.0959261,-118.503218
Mount Sneffels,14150,3030,15.7,601,38.0037895,-107.7922692
Mount Democrat,14148,748,1.2,1127,39.3395883,-106.1400273
McArthur Peak - East Peak,14134,748,1,0,,-106.1400273
Mount Elbert - South Peak,14134,214,0.7,126,,-106.1400273
Mount Massive - Southeast Peak,14132,212,0.4,90,,-106.1400273
Capitol Peak,14130,1730,7.4,280,39.15021,-107.082727
Liberty Cap,14112,472,0.8,69,46.8630175,-121.7748834
Pikes Peak,14110,5510,60.6,1477,38.8404012,-105.0439523
Mount Wilson - South Peak,14110,150,0.3,11,,-105.0439523
East Williamson Horn,14108,131,0.5,6,,-105.0439523
Mount Wilson - West Peak,14100,100,0.3,69,,-105.0439523
Snowmass Mountain,14092,1132,2.3,230,39.1188405,-107.0664852
Mount Russell,14088,1096,0.7,390,62.7982469,-151.8844845
Windom Peak,14087,2167,26.3,265,37.6213097,-107.5918424
Mount Eolus,14084,1004,1.7,236,37.6217842,-107.622655
Challenger Point,14081,281,0.2,309,37.9802775,-105.606675
Polemonium Peak,14080,160,0.1,127,37.0933864,-118.5118881
