Mountain Name,Elevation,Prominence,Isolation,Number of ascents,Latitude,Longitude,Distance,Elevation Change,Elevation Start,Elev per mile
Denali - West Buttress,20310,20146,4629.4,295,63.0692,-151.006239,33.6,16335,3975,972.3214286
Mount Logan,19551,17224,387,35,60.5678461,-140.4056911,35,10551,9000,602.9142857
Denali - North Peak,19470,1270,1.6,5,63.0692,-151.006322,21.4,13471,5999,1258.971963
Pico de Orizaba - Cara Norte,18491,16148,1671.6,423,19.0302938,-97.2698143,4.4,4399,14092,1999.545455
Pico de Orizaba - Cara Sur,18491,16148,1671.6,423,19.0302938,-97.2698143,7.2,5111,13380,1419.722222
Pico de Orizaba - Full Route,18491,16148,1671.6,423,19.0302938,-97.2698143,15.2,7303,11188,960.9210526
Volcán Popocatépetl,17759,9951,88.6,56,19.02254,-98.628014,3.1,4810,12949,3103.225806
Mount Lucania,17251,10075,26.7,5,61.0215698,-140.465998,16.2,12400,4851,1530.864198
Mount Logan - Capet Peak,17224,689,1.4,0,60.5678461,-140.465998,35,8134,9090,464.8
Volcán Iztaccíhuatl,17103,5020,10.7,226,19.180144,-98.641569,7.6,4537,12566,1193.947368
King Peak (Yukon),16972,3455,2.7,3,58.2237359,-124.856582,16.8,9611,7361,1144.166667
Mount Foraker - sultana ridge,17400,212,0.6,0,62.9608,-151.399814,9,10500,6900,2333.333333
Mount Saint Elias,18008,262,1.3,0,60.307757,-140.970165,24,16000,2008,1333.333333
Iztaccíhuatl - Las Rodillas,16732,33,0.3,63,19.180144,-98.641569,5.2,3085,13647,1186.538462
Iztaccíhuatl - Cabeza,16699,427,0,6,19.180144,-98.641569,10.3,2349,14350,456.1165049
Mount Steele,16644,2602,6.7,4,61.0928068,-140.310459,12,3238,13406,539.6666667
Mount Bona,16500,6870,49.4,9,61.3857184,-141.7499319,23,8500,8000,739.1304348
Pico el Fraile,16404,131,0.6,1,19.030654,-98.632584,7.3,1617,14787,443.0136986
Mount Blackburn,16390,11590,60.6,7,61.7316667,-143.4330556,6.5,9190,7200,2827.692308
